plot,rep,entry,loc,trial
101,1,CS,ithaca,fiber
102,1,MS77,ithaca,fiber
103,1,CS,ithaca,fiber
104,1,F83,ithaca,fiber
105,1,CARMAGNOLA,ithaca,fiber
106,1,EC,ithaca,fiber
107,1,PUMA,ithaca,fiber
108,1,FIBRANOVA,ithaca,fiber
109,1,F79,ithaca,fiber
201,2,F83,ithaca,fiber
202,2,MS77,ithaca,fiber
203,2,PUMA,ithaca,fiber
204,2,F79,ithaca,fiber
205,2,FIBRANOVA,ithaca,fiber
206,2,CARMAGNOLA,ithaca,fiber
207,2,EC,ithaca,fiber
208,2,PUMA SELECT,ithaca,fiber
209,2,CS,ithaca,fiber
301,3,MS77,ithaca,fiber
302,3,F83,ithaca,fiber
303,3,FIBRANOVA,ithaca,fiber
304,3,EC,ithaca,fiber
305,3,PUMA SELECT,ithaca,fiber
306,3,CS,ithaca,fiber
307,3,F79,ithaca,fiber
308,3,PUMA,ithaca,fiber
309,3,CARMAGNOLA,ithaca,fiber
401,4,F79,ithaca,fiber
402,4,F79,ithaca,fiber
403,4,FIBRANOVA,ithaca,fiber
404,4,PUMA,ithaca,fiber
405,4,EC,ithaca,fiber
406,4,MS77,ithaca,fiber
407,4,CS,ithaca,fiber
408,4,F83,ithaca,fiber
409,4,CARMAGNOLA,ithaca,fiber
101,1,Katani,ithaca,grain_dual
102,1,CRS-1,ithaca,grain_dual
103,1,CFX-1,ithaca,grain_dual
104,1,Grandi,ithaca,grain_dual
105,1,Picolo,ithaca,grain_dual
106,1,X-59,ithaca,grain_dual
107,1,CFX-2,ithaca,grain_dual
108,1,Joey,ithaca,grain_dual
109,1,Canda,ithaca,grain_dual
110,1,Earlina 08,ithaca,grain_dual
111,1,USO-31,ithaca,grain_dual
112,1,Anka,ithaca,grain_dual
113,1,Vega,ithaca,grain_dual
114,1,Fedora 17_NY-18,ithaca,grain_dual
115,1,Henola,ithaca,grain_dual
116,1,Tygra,ithaca,grain_dual
117,1,Rigel,ithaca,grain_dual
118,1,Altair,ithaca,grain_dual
119,1,Fedora 17_NY-21,ithaca,grain_dual
120,1,Bialobrzeskie,ithaca,grain_dual
121,1,Felina 32,ithaca,grain_dual
122,1,Wojko,ithaca,grain_dual
123,1,Helena,ithaca,grain_dual
124,1,Ferimon,ithaca,grain_dual
125,1,Futura 75,ithaca,grain_dual
201,2,CFX-1,ithaca,grain_dual
202,2,CFX-2,ithaca,grain_dual
203,2,Katani,ithaca,grain_dual
204,2,Picolo,ithaca,grain_dual
205,2,Grandi,ithaca,grain_dual
206,2,X-59,ithaca,grain_dual
207,2,Joey,ithaca,grain_dual
208,2,CRS-1,ithaca,grain_dual
209,2,Canda,ithaca,grain_dual
