temp_id,harv_year,cultivar,trial,loc
18,2021,,ky1_hf20,kentucky
19,2021,,ky1_hf20,kentucky
11,2021,Hlesia,multistate,ithaca
25,2021,,ky3_dp20,kentucky
12,2021,Hlesia,multistate,ithaca
26,2021,,ky3_dp20,kentucky
27,2021,,ky3_dp20,kentucky
7,2021,Anka,exp.,ithaca
13,2021,X-59,multistate,ithaca
8,2021,Picolo,exp.,ithaca
1,2021,Wojko,grain_dual,ithaca
28,2021,,ky2_ky,kentucky
2,2021,Joey,grain_dual,ithaca
9,2021,Logan C2,exp.,ithaca
15,2021,H-51,multistate,ithaca
16,2021,Anka,multistate,ithaca
3,2021,Altair,grain_dual,ithaca
14,2021,CFX-2,multistate,ithaca
4,2021,Tygra,grain_dual,ithaca
5,2021,CRS-1,grain_dual,ithaca
17,2021,Henola,multistate,ithaca
10,2021,Logan x Anka C2,exp.,ithaca
6,2021,CFX-1,grain_dual,ithaca
20,2021,,ky2_ky,kentucky
21,2021,,ky2_ky,kentucky
22,2021,,ky2_ky,kentucky
23,2021,,ky2_ky,kentucky
24,2021,,ky2_ky,kentucky
