Plot,Lot.,Entry,SeedWt,testwt,pct.moisture,me,loc,notes
101,17-514,Picolo,112,NA,NA,grain,free,deleted rep 3 grain freeville
102,17-516,Grandi,142,NA,NA,grain,free,deleted grain RS Geneva (no harvest)
103,17-515,CRS-1,414,37,5.5,grain,free,deleted all long island
104,18-532,X-59,375,36.7,5.5,grain,free,deleted rep 4 grain mcg
105,17-512,CFX-1,262,3,5.6,grain,free,deleted rep 3 dual freeville
106,17-511,CFX-2,312,33.1,5.6,grain,free,
107,16-503,USO-31,261,35.1,5.6,grain,free,
108,18-525,Swift,149,NA,NA,grain,free,
109,18-523,Pewter River,764,42.7,5.5,grain,free,
110,18-524,Portugal,638,42.3,5.5,grain,free,
111,17-513,Katani,378,32.9,5.6,grain,free,
201,17-512,CFX-1,201,27.9,6.2,grain,free,
202,17-515,CRS-1,537,35.8,5.5,grain,free,
203,17-511,CFX-2,341,33,5.6,grain,free,
204,18-524,Portugal,891,42.1,5.5,grain,free,
205,18-525,Swift,155,NA,NA,grain,free,
206,18-523,Pewter River,1424,42.6,5.5,grain,free,
207,18-532,X-59,828,40.9,5.4,grain,free,
208,17-516,Grandi,425,36.9,5.5,grain,free,
209,17-514,Picolo,364,34.6,5.6,grain,free,
210,17-513,Katani,436,34.9,5.6,grain,free,
211,16-503,USO-31,734,35.4,5.6,grain,free,
401,17-511,CFX-2,278,37,5.6,grain,free,
402,18-523,Pewter River,510,42.8,5.5,grain,free,
403,18-524,Portugal,526,43.6,5.6,grain,free,
404,17-512,CFX-1,670,35.9,5.6,grain,free,
405,18-525,Swift,391,33.9,5.7,grain,free,
406,17-515,CRS-1,1124,38.7,5.6,grain,free,
407,16-503,USO-31,529,38.3,5.6,grain,free,
408,17-513,Katani,710,36.2,5.6,grain,free,
409,18-532,X-59,1439,42.7,5.6,grain,free,
410,17-514,Picolo,837,37,5.6,grain,free,
411,17-516,Grandi,812,36.3,5.6,grain,free,
101,18-532,X-59,580,34.1,6.9,grain,CN North,
102,18-525,Swift,360,41.8,5.2,grain,CN North,
103,16-503,USO-31,290,33.5,6.4,grain,CN North,
104,17-512,CFX-1,470,36.9,6.1,grain,CN North,
105,17-513,Katani,300,36.7,6.2,grain,CN North,
106,18-524,Portugal,130,NA,NA,grain,CN North,
107,18-523,Pewter River,100,NA,NA,grain,CN North,
108,17-515,CRS-1,700,40.9,5.6,grain,CN North,
109,17-514,Picolo,400,42.3,5.5,grain,CN North,
110,17-516,Grandi,370,38.6,5.7,grain,CN North,
111,17-511,CFX-2,400,45.5,4.8,grain,CN North,
201,17-516,Grandi,540,36.9,6.3,grain,CN North,
