Field No.,Plot,Rep,Entry,trial
SNY01-109,101,1,Picolo,grain_replant
SNY01-110,102,1,CRS-1,grain_replant
SNY01-111,103,1,Joey,grain_replant
SNY01-112,104,1,USO-31,grain_replant
SNY01-113,105,1,CFX-2,grain_replant
SNY01-114,106,1,Canda,grain_replant
SNY01-115,107,1,Henola,grain_replant
SNY01-116,108,1,X-59,grain_replant
SNY01-117,201,2,X-59,grain_replant
SNY01-118,202,2,CRS-1,grain_replant
SNY01-119,203,2,Canda,grain_replant
SNY01-120,204,2,USO-31,grain_replant
SNY01-121,205,2,Henola,grain_replant
SNY01-122,206,2,Picolo,grain_replant
SNY01-123,207,2,Joey,grain_replant
SNY01-124,208,2,CFX-2,grain_replant
SNY01-125,301,3,Henola,grain_replant
SNY01-126,302,3,Picolo,grain_replant
SNY01-127,303,3,Canda,grain_replant
SNY01-128,304,3,USO-31,grain_replant
SNY01-129,305,3,Joey,grain_replant
SNY01-130,306,3,CRS-1,grain_replant
SNY01-131,307,3,CFX-2,grain_replant
SNY01-132,308,3,X-59,grain_replant
SNY01-133,401,4,X-59,grain_replant
SNY01-134,402,4,CFX-2,grain_replant
SNY01-135,403,4,USO-31,grain_replant
SNY01-136,404,4,Canda,grain_replant
SNY01-137,405,4,CRS-1,grain_replant
SNY01-138,406,4,Henola,grain_replant
SNY01-139,407,4,Picolo,grain_replant
SNY01-140,408,4,Joey,grain_replant
SNY01-141,101,1,NWG-Elite,dual_replant
SNY01-142,102,1,NWG-Abound,dual_replant
SNY01-143,103,1,Rigel,dual_replant
SNY01-144,104,1,Altair,dual_replant
SNY01-145,105,1,Hlukhivskii-51,dual_replant
SNY01-146,106,1,Vega,dual_replant
SNY01-147,107,1,Fedora 17,dual_replant
SNY01-148,108,1,Hlesia,dual_replant
SNY01-149,109,1,Anka,dual_replant
SNY01-150,110,1,Felina 32,dual_replant
SNY01-151,111,1,Bialobrzeskie,dual_replant
SNY01-152,112,1,Futura 75,dual_replant
SNY01-153,113,1,Ferimon,dual_replant
SNY01-154,114,1,Wojko,dual_replant
SNY01-155,115,1,Hliana,dual_replant
SNY01-156,201,2,NWG-Elite,dual_replant
SNY01-157,202,2,NWG-Abound,dual_replant
SNY01-158,203,2,Felina 32,dual_replant
SNY01-159,204,2,Fedora 17,dual_replant
SNY01-160,205,2,Vega,dual_replant
SNY01-161,206,2,Anka,dual_replant
SNY01-162,207,2,Futura 75,dual_replant
SNY01-163,208,2,Hlesia,dual_replant
SNY01-164,209,2,Bialobrzeskie,dual_replant
SNY01-165,210,2,Hlukhivskii-51,dual_replant
SNY01-166,211,2,Hliana,dual_replant
SNY01-167,212,2,Rigel,dual_replant
SNY01-168,213,2,Altair,dual_replant
SNY01-169,214,2,Ferimon,dual_replant
SNY01-170,215,2,Wojko,dual_replant
SNY01-171,301,3,Futura 75,dual_replant
SNY01-172,302,3,Fedora 17,dual_replant
SNY01-173,303,3,Altair,dual_replant
SNY01-174,304,3,Felina 32,dual_replant
SNY01-175,305,3,Anka,dual_replant
SNY01-176,306,3,NWG-Abound,dual_replant
SNY01-177,307,3,NWG-Elite,dual_replant
SNY01-178,308,3,Bialobrzeskie,dual_replant
SNY01-179,309,3,Rigel,dual_replant
SNY01-180,310,3,Hlesia,dual_replant
SNY01-181,311,3,Ferimon,dual_replant
SNY01-182,312,3,Hlukhivskii-51,dual_replant
SNY01-183,313,3,Vega,dual_replant
SNY01-184,314,3,Wojko,dual_replant
SNY01-185,315,3,Hliana,dual_replant
SNY01-186,401,4,Wojko,dual_replant
