temp_id,harv_year,loc,cultivar,type,in_ny
29,2017,cnoll,futura 75,"",TRUE
30,2017,cnoll,anka,"",TRUE
31,2017,cnoll,uso-31,"",TRUE
32,2017,cnoll,cfx-1,"",TRUE
33,2017,cnoll,katani,"",TRUE
34,2017,cnoll,wojko,"",TRUE
35,2017,cnoll,grandi,"",TRUE
36,2017,cnoll,crs-1,"",TRUE
37,2017,cnoll,felina 32,"",TRUE
38,2017,cnoll,tygra,"",TRUE
39,2017,cnoll,bialobrzeskie,"",TRUE
40,2017,cnoll,picolo,"",TRUE
41,2017,cnoll,cfx-2,"",TRUE
42,2017,rnooa,tygra,"",TRUE
43,2017,rnooa,futura 75,"",TRUE
44,2017,rnooa,uso-31,"",TRUE
45,2017,rnooa,grandi,"",TRUE
46,2017,rnooa,katani,"",TRUE
47,2017,rnooa,cfx-2,"",TRUE
48,2017,rnooa,picolo,"",TRUE
49,2017,rnooa,bialobrzeskie,"",TRUE
50,2017,rnooa,anka,"",TRUE
51,2017,rnooa,crs-1,"",TRUE
52,2017,rnooa,felina 32,"",TRUE
53,2017,rnooa,cfx-1,"",TRUE
54,2017,rnooa,wojko,"",TRUE
55,2017,mg4e,grandi,"",TRUE
56,2017,mg4e,cfx-2,"",TRUE
57,2017,mg4e,bialobrzeskie,"",TRUE
58,2017,mg4e,wojko,"",TRUE
59,2017,mg4e,katani,"",TRUE
60,2017,mg4e,crs-1,"",TRUE
61,2017,mg4e,felina 32,"",TRUE
62,2017,mg4e,cfx-1,"",TRUE
63,2017,mg4e,picolo,"",TRUE
64,2017,mg4e,anka,"",TRUE
65,2017,mg4e,tygra,"",TRUE
66,2017,mg4e,uso-31,"",TRUE
67,2017,mg4e,futura 75,"",TRUE
68,2017,mg4l,cfx-2,"",TRUE
69,2017,mg4l,anka,"",TRUE
70,2017,mg4l,felina 32,"",TRUE
71,2017,mg4l,futura 75,"",TRUE
72,2017,mg4l,grandi,"",TRUE
73,2017,mg4l,uso-31,"",TRUE
74,2017,mg4l,tygra,"",TRUE
75,2017,mg4l,picolo,"",TRUE
76,2017,mg4l,bialobrzeskie,"",TRUE
77,2017,mg4l,cfx-1,"",TRUE
78,2017,mg4l,wojko,"",TRUE
79,2017,mg4l,crs-1,"",TRUE
80,2017,mg4l,katani,"",TRUE
81,2017,eith,picolo,"",TRUE
82,2017,eith,bialobrzeskie,"",TRUE
83,2017,eith,450-31,"",TRUE
84,2017,eith,futura 75,"",TRUE
85,2017,eith,cfx-1,"",TRUE
86,2017,eith,crs-1,"",TRUE
87,2017,eith,wojko,"",TRUE
88,2017,eith,katani,"",TRUE
89,2017,eith,tygra,"",TRUE
90,2017,eith,anka,"",TRUE
91,2017,eith,felina 32,"",TRUE
92,2017,eith,cfx-2,"",TRUE
93,2017,eith,grandi,"",TRUE
94,2017,freev,picolo,"",TRUE
95,2017,freev,bialobrzeskie,"",TRUE
96,2017,freev,uso-31,"",TRUE
97,2017,freev,futura 75,"",TRUE
98,2017,freev,cfx-1,"",TRUE
99,2017,freev,crs-1,"",TRUE
100,2017,freev,wojko,"",TRUE
101,2017,freev,katani,"",TRUE
102,2017,freev,tygra,"",TRUE
103,2017,freev,anka,"",TRUE
104,2017,freev,felina 32,"",TRUE
105,2017,freev,cfx-2,"",TRUE
106,2017,freev,grandi,"",TRUE
120,2018,chazy,nebraska (feral),dual,TRUE
116,2018,chazy,swift,grain,TRUE
117,2018,chazy,uso-31,grain,TRUE
118,2018,chazy,uso-31,grain,TRUE
119,2018,chazy,crs-1,grain,TRUE
122,2018,cn north,rocky hemp,dual,TRUE
123,2018,cn north,tygra,dual,TRUE
121,2018,cn north,portugal,grain,TRUE
107,2018,free,swift,grain,TRUE
108,2018,free,katani,grain,TRUE
109,2018,free,pewter river,grain,TRUE
110,2018,free,x-59,grain,TRUE
111,2018,free,grandi,grain,TRUE
115,2018,mcg,nebraska (feral),dual,TRUE
112,2018,mcg,swift,grain,TRUE
113,2018,mcg,picolo,grain,TRUE
114,2018,mcg,grandi,grain,TRUE
124,2018,rsgeneva,canda,dual,TRUE
125,2018,rsgeneva,sterling gold,dual,TRUE
126,2019,free,grandi,grain,TRUE
127,2019,free,x-59,grain,TRUE
128,2019,free,canda,grain,TRUE
129,2019,free,joey,grain,TRUE
130,2019,free,helena,dual,TRUE
131,2019,free,nwg-elite,dual,TRUE
132,2019,mcg,han-fn-h,grain,TRUE
133,2019,mcg,uso-31,grain,TRUE
134,2019,mcg,han-nw,dual,TRUE
135,2019,rn041_gen,grandi,grain,TRUE
136,2019,rn041_gen,earlina 8,grain,TRUE
137,2019,rn041_gen,katani,grain,TRUE
138,2019,rn041_gen,joey,grain,TRUE
139,2019,rn041_gen,futura 75,dual,TRUE
140,2019,rn041_gen,wojko,dual,TRUE
141,2019,rn041_gen,h-51,dual,TRUE
142,2019,rn041_gen,hliana,dual,TRUE
143,2019,willsboro,anka,dual,TRUE
144,2019,willsboro,anka,dual,TRUE
145,2019,willsboro,bialobrzeskie,dual,TRUE
146,2019,rn028_gen,anka,dual,TRUE
147,2019,rn028_gen,bialobrzeskie,dual,TRUE
148,2019,mcg,hliana,multistate,TRUE
149,2019,mcg,hl-51,multistate,TRUE
154,2020,ithaca,henola,multistate,TRUE
155,2020,ithaca,nwg-2730,multistate,TRUE
152,2020,ithaca,futura 75,dual_replant,TRUE
156,2020,ithaca,bialobrzeskie,multistate,TRUE
157,2020,ithaca,katani,multistate,TRUE
150,2020,ithaca,crs-1,grain_original,TRUE
151,2020,ithaca,canda,grain_replant,TRUE
158,2020,ithaca,nwg-452,multistate,TRUE
153,2020,ithaca,nwg-abound,dual_replant,TRUE
159,2020,ithaca,cfx-1,multistate,TRUE
160,2020,ithaca,hlesia,multistate,TRUE
18,2021,kentucky,"",ky1_hf20,FALSE
19,2021,kentucky,"",ky1_hf20,FALSE
11,2021,ithaca,hlesia,multistate,TRUE
25,2021,kentucky,"",ky3_dp20,FALSE
12,2021,ithaca,hlesia,multistate,TRUE
26,2021,kentucky,"",ky3_dp20,FALSE
27,2021,kentucky,"",ky3_dp20,FALSE
7,2021,ithaca,anka,exp.,TRUE
13,2021,ithaca,x-59,multistate,TRUE
8,2021,ithaca,picolo,exp.,TRUE
1,2021,ithaca,wojko,grain_dual,TRUE
28,2021,kentucky,"",ky2_ky,FALSE
2,2021,ithaca,joey,grain_dual,TRUE
9,2021,ithaca,logan c2,exp.,TRUE
15,2021,ithaca,h-51,multistate,TRUE
16,2021,ithaca,anka,multistate,TRUE
3,2021,ithaca,altair,grain_dual,TRUE
14,2021,ithaca,cfx-2,multistate,TRUE
4,2021,ithaca,tygra,grain_dual,TRUE
5,2021,ithaca,crs-1,grain_dual,TRUE
17,2021,ithaca,henola,multistate,TRUE
10,2021,ithaca,logan x anka c2,exp.,TRUE
6,2021,ithaca,cfx-1,grain_dual,TRUE
