cultivar,type,harv_year
450-31,"",2017
altair,grain_dual,2021
anka,"",2017
anka,dual,2019
anka,exp.,2021
anka,multistate,2021
bialobrzeskie,"",2017
bialobrzeskie,dual,2019
bialobrzeskie,multistate,2020
canda,dual,2018
canda,grain,2019
canda,grain_replant,2020
cfx-1,"",2017
cfx-1,multistate,2020
cfx-1,grain_dual,2021
cfx-2,"",2017
cfx-2,multistate,2021
crs-1,"",2017
crs-1,grain,2018
crs-1,grain_original,2020
crs-1,grain_dual,2021
earlina 8,grain,2019
felina 32,"",2017
futura 75,"",2017
futura 75,dual,2019
futura 75,dual_replant,2020
grandi,"",2017
grandi,grain,2018
grandi,grain,2019
h-51,dual,2019
h-51,multistate,2021
han-fn-h,grain,2019
han-nw,dual,2019
helena,dual,2019
henola,multistate,2020
henola,multistate,2021
hl-51,multistate,2019
hlesia,multistate,2020
hlesia,multistate,2021
hliana,dual,2019
hliana,multistate,2019
joey,grain,2019
joey,grain_dual,2021
katani,"",2017
katani,grain,2018
katani,grain,2019
katani,multistate,2020
logan c2,exp.,2021
logan x anka c2,exp.,2021
nebraska (feral),dual,2018
nwg-2730,multistate,2020
nwg-452,multistate,2020
nwg-abound,dual_replant,2020
nwg-elite,dual,2019
pewter river,grain,2018
picolo,"",2017
picolo,grain,2018
picolo,exp.,2021
portugal,grain,2018
rocky hemp,dual,2018
sterling gold,dual,2018
swift,grain,2018
tygra,"",2017
tygra,dual,2018
tygra,grain_dual,2021
uso-31,"",2017
uso-31,grain,2018
uso-31,grain,2019
wojko,"",2017
wojko,dual,2019
wojko,grain_dual,2021
x-59,grain,2018
x-59,grain,2019
x-59,multistate,2021
