Cultivar,Chazy,Freeville,Geneva,Ithaca,Willsboro,Total
ALTAIR,,,,1,,1
ANKA,,1,3,5,2,11
BIALOBRZESKIE,,1,3,4,1,9
CANDA,,1,1,1,,3
CFX-1,,1,2,5,,8
CFX-2,,1,2,4,,7
CRS-1,1,1,2,5,,9
CULTIVAR1,,1,,,,1
CULTIVAR2,,,,1,,1
CULTIVAR3,,,,1,,1
CULTIVAR4,,,,1,,1
EARLINA 8,,,1,,,1
EXPERIMENTAL1,,,,1,,1
EXPERIMENTAL2,,,,1,,1
FELINA 32,,1,2,3,,6
FUTURA 75,,1,3,4,,8
GRANDI,,3,3,4,,10
H-51,,,1,2,,3
HAN-FN-H,,,,1,,1
HAN-NW,,,,1,,1
HELENA,,1,,,,1
HENOLA,,,,2,,2
HLESIA,,,,3,,3
HLIANA,,,1,1,,2
JOEY,,1,1,1,,3
KATANI,,2,3,4,,9
NEBRASKA (FERAL),1,,,1,,2
PEWTER RIVER,,1,,,,1
PICOLO,,1,2,5,,8
PORTUGAL,,,1,,,1
ROCKY HEMP,,,1,,,1
STERLING GOLD,,,1,,,1
SWIFT,1,1,,1,,3
TYGRA,,1,3,4,,8
USO-31,2,1,2,4,,9
WOJKO,,1,3,4,,8
X-59,,2,,1,,3
TOTAL,5,24,41,76,3,149
